sample_id,row,col,revealed_at,committed_class,commit_prob
746,7,8,54,0,0.45605
746,7,9,50,0,1.0
746,8,0,31,0,1.0
746,8,1,2,0,0.40254
746,8,2,4,4,0.02671
746,8,3,28,1,0.84282
746,8,4,64,1,0.96537
746,8,5,38,1,0.82709
746,8,6,15,3,0.10673
746,8,7,60,4,0.25722
746,8,8,87,1,0.7786
746,8,9,88,0,1.0
746,9,0,33,0,1.0
746,9,1,66,0,1.0
746,9,2,58,0,1.0
746,9,3,12,0,1.0
746,9,4,83,0,1.0
746,9,5,22,0,1.0
746,9,6,79,0,1.0
746,9,7,61,0,1.0
746,9,8,32,0,1.0
746,9,9,13,0,1.0
1180,0,0,74,0,1.0
1180,0,1,94,0,1.0
1180,0,2,55,0,1.0
1180,0,3,50,0,1.0
1180,0,4,40,0,1.0
1180,0,5,56,0,1.0
1180,0,6,28,0,1.0
1180,0,7,85,0,1.0
1180,0,8,64,0,1.0
1180,0,9,57,0,1.0
1180,1,0,22,0,1.0
1180,1,1,41,0,1.0
1180,1,2,42,0,1.0
1180,1,3,76,0,1.0
1180,1,4,81,0,1.0
1180,1,5,15,0,0.91836
1180,1,6,44,0,0.99013
1180,1,7,58,0,0.98913
1180,1,8,79,0,1.0
1180,1,9,91,0,1.0
1180,2,0,1,0,1.0
1180,2,1,23,0,0.92965
1180,2,2,14,0,0.73827
1180,2,3,87,0,1.0
1180,2,4,33,0,0.99998
1180,2,5,88,0,1.0
1180,2,6,19,0,0.99535
1180,2,7,71,0,0.94687
1180,2,8,17,0,0.85561
1180,2,9,10,0,1.0
1180,3,0,93,0,1.0
1180,3,1,78,0,1.0
1180,3,2,11,0,0.7235
1180,3,3,5,0,0.55553
1180,3,4,24,0,0.99996
1180,3,5,60,0,1.0
1180,3,6,9,0,0.71694
1180,3,7,48,1,0.2219
1180,3,8,90,1,0.62661
1180,3,9,16,0,1.0
1180,4,0,86,0,1.0
1180,4,1,46,0,1.0
1180,4,2,4,0,0.25145
1180,4,3,92,0,1.0
1180,4,4,7,0,0.64522
1180,4,5,62,0,1.0
1180,4,6,52,0,0.49742
1180,4,7,54,3,0.27301
1180,4,8,67,1,0.60798
1180,4,9,82,0,1.0
1180,5,0,70,0,1.0
1180,5,1,39,0,0.99892
1180,5,2,63,0,0.99119
1180,5,3,83,0,0.92082
1180,5,4,72,0,0.99207
1180,5,5,21,0,0.91565
1180,5,6,97,2,0.52259
1180,5,7,49,1,0.57893
1180,5,8,32,1,0.30703
1180,5,9,29,0,1.0
1180,6,0,8,0,1.0
1180,6,1,26,0,0.16777
1180,6,2,38,0,0.51067
1180,6,3,27,1,0.2762
1180,6,4,12,0,0.38528
1180,6,5,0,0,0.55902
1180,6,6,61,1,0.37321
1180,6,7,99,3,1.0
1180,6,8,98,1,0.99993
1180,6,9,69,0,1.0
1180,7,0,53,0,1.0
1180,7,1,68,1,0.76746
1180,7,2,13,3,0.54661
1180,7,3,66,1,0.76754
1180,7,4,6,3,0.16288
1180,7,5,89,1,0.83031
1180,7,6,80,4,0.1176
1180,7,7,31,4,0.20985
1180,7,8,35,0,0.31519
1180,7,9,59,0,1.0
1180,8,0,65,0,1.0
1180,8,1,2,1,0.44758
1180,8,2,47,4,0.22802
1180,8,3,20,1,0.64348
1180,8,4,51,1,0.77763
1180,8,5,73,4,0.3094
1180,8,6,75,1,0.69147
1180,8,7,43,1,0.73475
1180,8,8,3,0,0.5086
1180,8,9,77,0,1.0
1180,9,0,84,0,1.0
1180,9,1,37,0,1.0
1180,9,2,96,0,1.0
1180,9,3,95,0,1.0
1180,9,4,25,0,1.0
1180,9,5,34,0,1.0
1180,9,6,36,0,1.0
1180,9,7,45,0,1.0
1180,9,8,30,0,1.0
1180,9,9,18,0,1.0
1848,0,0,87,0,1.0
1848,0,1,21,0,1.0
1848,0,2,33,0,1.0
1848,0,3,28,0,1.0
1848,0,4,23,0,1.0
1848,0,5,97,0,1.0
1848,0,6,11,0,1.0
1848,0,7,67,0,1.0
1848,0,8,46,0,1.0
1848,0,9,81,0,1.0
1848,1,0,82,0,1.0
1848,1,1,29,0,0.36059
1848,1,2,60,0,0.93771
1848,1,3,17,0,0.0663
1848,1,4,3,1,0.25762
1848,1,5,47,1,0.75316
1848,1,6,25,0,0.59664
1848,1,7,31,0,0.99981
1848,1,8,88,0,1.0
1848,1,9,56,0,1.0
1848,2,0,89,0,1.0
1848,2,1,37,0,0.16711
1848,2,2,62,2,0.87552
1848,2,3,65,0,0.22799
1848,2,4,54,3,0.71585
1848,2,5,41,1,0.75219
1848,2,6,34,0,0.45982
1848,2,7,77,0,1.0
1848,2,8,1,0,0.55202
1848,2,9,48,0,1.0
1848,3,0,94,0,1.0
1848,3,1,38,0,0.26454
1848,3,2,13,3,0.18535
1848,3,3,69,3,0.4474
1848,3,4,76,4,0.25883
1848,3,5,22,1,0.54157
1848,3,6,49,0,0.57687
1848,3,7,9,0,0.88589
1848,3,8,35,0,0.99997
1848,3,9,74,0,1.0
1848,4,0,59,0,1.0
1848,4,1,86,1,0.92272
1848,4,2,26,1,0.48372
1848,4,3,68,3,0.47826
1848,4,4,7,0,0.45429
1848,4,5,63,1,0.83256
1848,4,6,61,0,0.52905
1848,4,7,95,0,1.0
1848,4,8,55,0,0.99825
1848,4,9,73,0,1.0
1848,5,0,30,0,1.0
1848,5,1,19,1,0.7357
1848,5,2,39,4,0.20564
1848,5,3,71,4,0.2311
1848,5,4,64,1,0.43275
1848,5,5,98,1,0.99994
1848,5,6,83,1,0.42845
1848,5,7,66,0,0.99195
1848,5,8,79,0,1.0
1848,5,9,12,0,1.0
1848,6,0,42,0,1.0
1848,6,1,52,1,0.82436
1848,6,2,85,0,0.10099
1848,6,3,45,0,0.32643
1848,6,4,75,0,0.39293
1848,6,5,40,4,0.04393
1848,6,6,8,0,0.51139
1848,6,7,32,0,0.98961
1848,6,8,4,0,0.72167
1848,6,9,14,0,1.0
1848,7,0,84,0,1.0
1848,7,1,53,1,0.81133
1848,7,2,20,1,0.34265
1848,7,3,44,0,0.32469
1848,7,4,16,0,0.40599
1848,7,5,70,1,0.74812
1848,7,6,58,0,0.51467
1848,7,7,36,0,0.92893
1848,7,8,15,0,0.97289
1848,7,9,99,0,1.0
1848,8,0,72,0,1.0
1848,8,1,51,1,0.83164
1848,8,2,91,1,0.99993
1848,8,3,50,1,0.80191
1848,8,4,2,1,0.55651
1848,8,5,93,1,0.99945
1848,8,6,78,0,0.47818
1848,8,7,80,0,1.0
1848,8,8,6,0,0.6868
1848,8,9,43,0,1.0
1848,9,0,90,0,1.0
1848,9,1,96,0,1.0
1848,9,2,57,0,1.0
1848,9,3,92,0,1.0
1848,9,4,5,0,1.0
1848,9,5,10,0,1.0
1848,9,6,24,0,1.0
1848,9,7,18,0,1.0
1848,9,8,0,0,1.0
1848,9,9,27,0,1.0
2397,0,0,12,0,1.0
2397,0,1,11,0,1.0
2397,0,2,82,0,1.0
2397,0,3,54,0,1.0
2397,0,4,24,0,1.0
2397,0,5,67,0,1.0
2397,0,6,17,0,1.0
2397,0,7,57,0,1.0
2397,0,8,46,0,1.0
2397,0,9,39,0,1.0
2397,1,0,99,0,1.0
2397,1,1,61,1,0.87714
2397,1,2,22,1,0.71642
2397,1,3,13,1,0.6226
2397,1,4,28,0,0.16556
2397,1,5,55,2,0.17439
2397,1,6,23,0,0.1858
2397,1,7,98,0,1.0
2397,1,8,80,0,1.0
2397,1,9,73,0,1.0
2397,2,0,77,0,1.0
2397,2,1,84,1,0.99992
2397,2,2,38,3,0.57161
2397,2,3,14,1,0.58246
2397,2,4,72,1,0.48428
2397,2,5,47,3,0.23095
2397,2,6,76,1,0.13428
2397,2,7,58,0,0.95931
2397,2,8,33,0,0.9503
2397,2,9,30,0,1.0
2397,3,0,44,0,1.0
2397,3,1,63,1,0.96393
2397,3,2,32,4,0.1384
2397,3,3,34,3,0.19975
2397,3,4,59,1,0.85157
2397,3,5,69,1,0.95314
2397,3,6,65,0,0.55945
2397,3,7,62,0,0.98571
2397,3,8,0,0,0.54933
2397,3,9,21,0,1.0
2397,4,0,75,0,1.0
2397,4,1,91,1,0.99994
2397,4,2,83,1,0.74053
2397,4,3,7,0,0.64631
2397,4,4,41,1,0.18724
2397,4,5,8,1,0.31192
2397,4,6,66,0,0.7946
2397,4,7,3,0,0.74848
2397,4,8,19,0,0.97861
2397,4,9,78,0,1.0
2397,5,0,10,0,1.0
2397,5,1,6,1,0.53231
2397,5,2,42,1,0.3563
2397,5,3,74,0,0.94877
2397,5,4,71,4,0.21714
2397,5,5,90,1,0.99993
2397,5,6,27,1,0.71836
2397,5,7,93,1,0.99992
2397,5,8,56,1,0.12243
2397,5,9,5,0,1.0
2397,6,0,86,0,1.0
2397,6,1,49,4,0.0501
2397,6,2,16,0,0.36722
2397,6,3,43,0,0.92283
2397,6,4,95,0,0.99773
2397,6,5,26,1,0.66863
2397,6,6,51,3,0.02417
2397,6,7,81,0,0.01322
2397,6,8,79,0,0.85643
2397,6,9,64,0,1.0
2397,7,0,60,0,1.0
2397,7,1,94,0,0.65954
2397,7,2,20,0,0.88827
2397,7,3,45,0,0.99631
2397,7,4,9,0,0.27732
2397,7,5,48,0,0.29111
2397,7,6,4,4,0.02642
2397,7,7,31,1,0.31975
2397,7,8,25,0,0.81618
2397,7,9,40,0,1.0
2397,8,0,35,0,1.0
2397,8,1,89,0,0.85293
2397,8,2,2,0,0.33769
2397,8,3,85,0,0.99999
2397,8,4,53,0,0.9724
2397,8,5,87,0,0.87709
2397,8,6,96,1,0.89529
2397,8,7,18,0,0.72343
2397,8,8,1,0,0.5905
2397,8,9,88,0,1.0
2397,9,0,29,0,1.0
2397,9,1,68,0,1.0
2397,9,2,15,0,1.0
2397,9,3,97,0,1.0
2397,9,4,52,0,1.0
2397,9,5,50,0,1.0
2397,9,6,36,0,1.0
2397,9,7,92,0,1.0
2397,9,8,70,0,1.0
2397,9,9,37,0,1.0
2876,0,0,59,0,1.0
2876,0,1,3,0,1.0
2876,0,2,53,0,1.0
2876,0,3,16,0,1.0
2876,0,4,26,0,1.0
2876,0,5,71,0,1.0
2876,0,6,18,0,1.0
2876,0,7,23,0,1.0
2876,0,8,84,0,1.0
2876,0,9,95,0,1.0
2876,1,0,66,0,1.0
2876,1,1,60,0,1.0
2876,1,2,96,0,1.0
2876,1,3,52,0,1.0
2876,1,4,50,0,1.0
2876,1,5,42,0,1.0
2876,1,6,86,0,1.0
2876,1,7,6,0,0.73252
2876,1,8,10,0,0.99997
2876,1,9,61,0,1.0
2876,2,0,13,0,1.0
2876,2,1,91,0,1.0
2876,2,2,7,0,0.52213
2876,2,3,72,0,1.0
2876,2,4,39,0,0.99982
2876,2,5,70,0,1.0
2876,2,6,81,0,1.0
2876,2,7,37,0,1.0
2876,2,8,47,0,1.0
2876,2,9,73,0,1.0
2876,3,0,21,0,1.0
2876,3,1,17,0,0.49453
2876,3,2,31,0,0.94086
2876,3,3,41,0,0.99942
2876,3,4,35,0,0.99235
2876,3,5,2,0,0.60101
2876,3,6,98,0,1.0
2876,3,7,5,0,0.51237
2876,3,8,74,0,1.0
2876,3,9,82,0,1.0
2876,4,0,0,0,1.0
2876,4,1,44,1,0.60028
2876,4,2,34,1,0.7185
2876,4,3,24,1,0.13625
2876,4,4,92,0,0.91531
2876,4,5,85,0,0.98506
2876,4,6,62,0,0.9984
2876,4,7,40,0,0.99981
2876,4,8,8,0,0.75131
2876,4,9,68,0,1.0
2876,5,0,14,0,1.0
2876,5,1,58,4,0.44441
2876,5,2,12,3,0.06622
2876,5,3,4,0,0.5117
2876,5,4,20,0,0.76948
2876,5,5,36,0,0.82788
2876,5,6,22,0,0.80997
2876,5,7,27,0,0.79823
2876,5,8,43,0,0.97014
2876,5,9,28,0,1.0
2876,6,0,55,0,1.0
2876,6,1,49,1,0.7128
2876,6,2,57,1,0.58044
2876,6,3,45,3,0.27524
2876,6,4,19,1,0.42441
2876,6,5,11,1,0.38152
2876,6,6,79,1,0.14138
2876,6,7,32,0,0.44929
2876,6,8,90,0,1.0
2876,6,9,51,0,1.0
2876,7,0,88,0,1.0
2876,7,1,76,1,0.98009
2876,7,2,69,4,0.37748
2876,7,3,87,1,0.76369
2876,7,4,94,3,1.0
2876,7,5,15,4,0.17489
2876,7,6,33,0,0.16972
2876,7,7,25,1,0.35002
2876,7,8,75,0,0.78921
2876,7,9,30,0,1.0
2876,8,0,56,0,1.0
2876,8,1,83,1,0.99183
2876,8,2,65,4,0.5541
2876,8,3,38,1,0.60498
2876,8,4,80,1,0.99722
2876,8,5,93,1,0.99745
2876,8,6,48,1,0.98951
2876,8,7,97,3,0.99999
2876,8,8,46,2,0.47106
2876,8,9,54,0,1.0
2876,9,0,89,0,1.0
2876,9,1,99,0,1.0
2876,9,2,67,0,1.0
2876,9,3,64,0,1.0
2876,9,4,9,0,1.0
2876,9,5,78,0,1.0
2876,9,6,77,0,1.0
2876,9,7,1,0,1.0
2876,9,8,29,0,1.0
2876,9,9,63,0,1.0
3578,0,0,71,0,1.0
3578,0,1,61,0,1.0
3578,0,2,27,0,1.0
3578,0,3,83,0,1.0
3578,0,4,33,0,1.0
3578,0,5,63,0,1.0
3578,0,6,55,0,1.0
3578,0,7,35,0,1.0
3578,0,8,67,0,1.0
3578,0,9,12,0,1.0
3578,1,0,56,0,1.0
3578,1,1,51,0,0.96812
3578,1,2,43,0,0.96358
3578,1,3,53,0,1.0
3578,1,4,96,0,1.0
3578,1,5,99,0,1.0
3578,1,6,93,0,1.0
3578,1,7,70,0,1.0
3578,1,8,21,0,0.94538
3578,1,9,4,0,1.0
3578,2,0,34,0,1.0
3578,2,1,91,0,0.74595
3578,2,2,46,0,0.9688
3578,2,3,90,0,1.0
3578,2,4,10,0,0.95955
3578,2,5,7,0,0.64432
3578,2,6,9,0,0.81506
3578,2,7,74,0,1.0
3578,2,8,76,0,1.0
3578,2,9,26,0,1.0
3578,3,0,36,0,1.0
3578,3,1,68,1,0.27723
3578,3,2,3,0,0.66174
3578,3,3,94,0,1.0
3578,3,4,40,0,0.99884
3578,3,5,89,0,1.0
3578,3,6,77,0,0.99146
3578,3,7,14,0,0.82846
3578,3,8,41,0,0.90358
3578,3,9,29,0,1.0
3578,4,0,1,0,1.0
3578,4,1,58,1,0.33337
3578,4,2,6,0,0.82728
3578,4,3,18,0,0.89061
3578,4,4,78,0,1.0
3578,4,5,23,0,0.91527
3578,4,6,88,0,0.43083
3578,4,7,59,1,0.29309
3578,4,8,81,0,0.38617
3578,4,9,79,0,1.0
3578,5,0,25,0,1.0
3578,5,1,11,1,0.16671
3578,5,2,60,0,0.65259
3578,5,3,44,0,0.75369
3578,5,4,69,0,0.94941
3578,5,5,86,0,0.73405
3578,5,6,64,1,0.82331
3578,5,7,28,4,0.12399
3578,5,8,17,1,0.21616
3578,5,9,98,0,1.0
3578,6,0,48,0,1.0
3578,6,1,19,1,0.72471
3578,6,2,62,0,0.67115
3578,6,3,15,1,0.44276
3578,6,4,50,1,0.43596
3578,6,5,95,0,0.9852
3578,6,6,13,3,0.15853
3578,6,7,8,1,0.42254
3578,6,8,39,1,0.76785
3578,6,9,65,0,1.0
3578,7,0,24,0,1.0
3578,7,1,66,1,0.99984
3578,7,2,49,0,0.68876
3578,7,3,16,1,0.35199
3578,7,4,45,3,0.16669
3578,7,5,75,1,0.99692
3578,7,6,2,3,0.11501
3578,7,7,20,4,0.29809
3578,7,8,97,1,0.99975
3578,7,9,85,0,1.0
3578,8,0,57,0,1.0
3578,8,1,32,2,0.11564
3578,8,2,72,3,0.99058
3578,8,3,73,1,0.99995
3578,8,4,47,1,0.84971
3578,8,5,84,1,0.99994
3578,8,6,31,4,0.07396
3578,8,7,52,4,0.10821
3578,8,8,42,1,0.82372
3578,8,9,22,0,1.0
3578,9,0,82,0,1.0
3578,9,1,80,0,1.0
3578,9,2,87,0,1.0
3578,9,3,37,0,1.0
3578,9,4,5,0,1.0
3578,9,5,92,0,1.0
3578,9,6,54,0,1.0
3578,9,7,38,0,1.0
3578,9,8,30,0,1.0
3578,9,9,0,0,1.0
4430,0,0,21,0,1.0
4430,0,1,25,0,1.0
4430,0,2,20,0,1.0
4430,0,3,80,0,1.0
4430,0,4,60,0,1.0
4430,0,5,34,0,1.0
4430,0,6,57,0,1.0
4430,0,7,13,0,1.0
4430,0,8,59,0,1.0
4430,0,9,4,0,1.0
4430,1,0,2,0,1.0
4430,1,1,55,1,0.83517
4430,1,2,10,1,0.26198
4430,1,3,66,1,0.96408
4430,1,4,65,1,0.95791
4430,1,5,47,1,0.40786
4430,1,6,83,0,0.61738
4430,1,7,72,0,0.98804
4430,1,8,84,0,1.0
4430,1,9,33,0,1.0
4430,2,0,43,0,1.0
4430,2,1,74,1,0.99709
4430,2,2,26,3,0.55351
4430,2,3,70,1,0.98305
4430,2,4,6,3,0.09329
4430,2,5,23,1,0.58517
4430,2,6,12,0,0.47058
4430,2,7,37,0,0.99337
4430,2,8,29,0,0.99437
4430,2,9,9,0,1.0
4430,3,0,24,0,1.0
4430,3,1,49,1,0.84221
4430,3,2,50,1,0.3906
4430,3,3,62,0,0.98214
4430,3,4,32,4,0.13109
4430,3,5,3,3,0.04074
4430,3,6,77,0,0.79691
4430,3,7,97,0,1.0
4430,3,8,22,0,0.90248
4430,3,9,18,0,1.0
4430,4,0,93,0,1.0
4430,4,1,56,1,0.7953
4430,4,2,11,0,0.7266
4430,4,3,86,0,0.98168
4430,4,4,7,4,0.06195
4430,4,5,30,1,0.80991
4430,4,6,28,1,0.26253
4430,4,7,54,0,0.98812
4430,4,8,82,0,1.0
4430,4,9,87,0,1.0
4430,5,0,51,0,1.0
4430,5,1,46,1,0.04409
4430,5,2,94,0,0.90181
4430,5,3,40,0,0.86901
4430,5,4,45,0,0.34199
4430,5,5,90,1,0.9315
4430,5,6,64,1,0.44097
4430,5,7,31,0,0.93213
4430,5,8,68,0,0.99671
4430,5,9,96,0,1.0
4430,6,0,15,0,1.0
4430,6,1,39,0,0.76129
4430,6,2,73,0,0.85517
4430,6,3,41,1,0.06791
4430,6,4,19,1,0.51633
4430,6,5,58,1,0.80546
4430,6,6,16,0,0.6695
4430,6,7,89,0,1.0
4430,6,8,99,0,1.0
4430,6,9,81,0,1.0
4430,7,0,0,0,1.0
4430,7,1,71,0,0.83872
4430,7,2,35,0,0.67607
4430,7,3,42,1,0.7058
4430,7,4,98,1,0.36607
4430,7,5,5,1,0.39897
4430,7,6,17,1,0.39065
4430,7,7,14,0,0.28426
4430,7,8,85,0,0.81715
4430,7,9,52,0,1.0
4430,8,0,75,0,1.0
4430,8,1,92,2,0.99833
4430,8,2,61,3,0.05308
4430,8,3,53,1,0.68351
4430,8,4,95,4,0.57461
4430,8,5,69,1,0.87041
4430,8,6,91,1,0.83744
4430,8,7,27,1,0.92532
4430,8,8,1,4,0.06825
4430,8,9,44,0,1.0
4430,9,0,79,0,1.0
4430,9,1,36,0,1.0
4430,9,2,8,0,1.0
4430,9,3,78,0,1.0
4430,9,4,38,0,1.0
4430,9,5,76,0,1.0
4430,9,6,48,0,1.0
4430,9,7,88,0,1.0
4430,9,8,67,0,1.0
4430,9,9,63,0,1.0
4962,0,0,9,0,1.0
4962,0,1,78,0,1.0
4962,0,2,24,0,1.0
4962,0,3,68,0,1.0
4962,0,4,89,0,1.0
4962,0,5,27,0,1.0
4962,0,6,59,0,1.0
4962,0,7,51,0,1.0
4962,0,8,76,0,1.0
4962,0,9,79,0,1.0
4962,1,0,3,0,1.0
4962,1,1,14,0,0.73811
4962,1,2,53,0,0.99151
4962,1,3,44,0,0.99664
4962,1,4,67,0,0.99947
4962,1,5,34,0,0.95704
4962,1,6,91,0,1.0
4962,1,7,90,0,1.0
4962,1,8,58,0,0.99953
4962,1,9,84,0,1.0
4962,2,0,0,0,1.0
4962,2,1,54,0,0.97977
4962,2,2,13,2,0.02433
4962,2,3,18,0,0.71968
4962,2,4,87,0,0.7782
4962,2,5,45,0,0.85094
4962,2,6,57,0,0.85221
4962,2,7,99,0,1.0
4962,2,8,25,0,0.93017
4962,2,9,88,0,1.0
4962,3,0,1,0,1.0
4962,3,1,41,1,0.5179
4962,3,2,52,3,0.97502
4962,3,3,98,0,0.03391
4962,3,4,94,1,0.87395
4962,3,5,61,1,0.88502
4962,3,6,28,1,0.2324
4962,3,7,63,0,0.39629
4962,3,8,72,0,1.0
4962,3,9,39,0,1.0
4962,4,0,47,0,1.0
4962,4,1,50,1,0.74579
4962,4,2,4,1,0.3534
4962,4,3,48,3,0.13624
4962,4,4,55,1,0.75226
4962,4,5,46,1,0.53037
4962,4,6,33,3,0.10395
4962,4,7,38,1,0.4434
4962,4,8,65,0,0.98142
4962,4,9,21,0,1.0
4962,5,0,15,0,1.0
4962,5,1,62,0,0.41439
4962,5,2,92,4,0.43328
4962,5,3,12,0,0.44617
4962,5,4,82,0,0.96166
4962,5,5,37,1,0.52535
4962,5,6,36,1,0.71174
4962,5,7,7,0,0.70652
4962,5,8,74,0,0.99988
4962,5,9,26,0,1.0
4962,6,0,8,0,1.0
4962,6,1,81,1,0.31732
4962,6,2,10,1,0.48766
4962,6,3,31,1,0.43791
4962,6,4,73,0,0.86868
4962,6,5,35,0,0.32183
4962,6,6,85,3,0.41083
4962,6,7,95,4,0.11561
4962,6,8,75,0,0.98804
4962,6,9,80,0,1.0
4962,7,0,64,0,1.0
4962,7,1,30,0,0.04864
4962,7,2,77,1,0.58534
4962,7,3,11,4,0.0856
4962,7,4,32,4,0.068
4962,7,5,71,1,0.73927
4962,7,6,97,1,0.99991
4962,7,7,60,1,0.7667
4962,7,8,6,0,0.57827
4962,7,9,5,0,1.0
4962,8,0,19,0,1.0
4962,8,1,29,1,0.79196
4962,8,2,2,1,0.44841
4962,8,3,22,1,0.75645
4962,8,4,96,1,0.99332
4962,8,5,83,1,0.55487
4962,8,6,17,1,0.50103
4962,8,7,43,1,0.88314
4962,8,8,42,1,0.39021
4962,8,9,49,0,1.0
4962,9,0,69,0,1.0
4962,9,1,16,0,1.0
4962,9,2,86,0,1.0
4962,9,3,23,0,1.0
4962,9,4,56,0,1.0
4962,9,5,40,0,1.0
4962,9,6,66,0,1.0
4962,9,7,70,0,1.0
4962,9,8,20,0,1.0
4962,9,9,93,0,1.0
